date,calls,p_c_ratio,puts,total
2007-09-26,1847762,0.87,1603907,3451669
2007-09-27,1518767,0.85,1293724,2812491
2007-09-28,1451701,1.1,1596917,3048618
2007-10-01,1733927,0.88,1527582,3261509
2007-10-02,1715630,0.99,1692175,3407805
2007-10-03,1483727,0.82,1221845,2705572
2007-10-04,1734341,0.72,1254195,2988536
2007-10-05,1899053,0.78,1483412,3382465
2007-10-08,1281945,0.82,1045352,2327297
2007-10-09,1913872,0.81,1549053,3462925
2007-10-10,1814479,0.89,1605987,3420466
2007-10-11,2594140,0.9,2345297,4939437
2007-10-12,2124666,0.78,1649421,3774087
2007-10-15,2209135,0.8,1760603,3969738
2007-10-16,2124954,0.96,2033318,4158272
2007-10-17,2708960,0.95,2560971,5269931
2007-10-18,2673859,0.77,2064460,4738319
2007-10-19,2902135,1.16,3360042,6262177
2007-10-22,2051796,1.01,2068175,4119971
2007-10-23,1996534,0.96,1918568,3915102
2007-10-24,2187512,0.98,2153667,4341179
2007-10-25,1729799,1.09,1884352,3614151
2007-10-26,2190850,0.82,1801878,3992728
2007-10-29,1735122,0.92,1588615,3323737
2007-10-30,1587893,1.16,1848007,3435900
2007-10-31,2363853,0.77,1825071,4188924
2007-11-01,2297684,0.96,2212177,4509861
2007-11-02,2146378,1.14,2442717,4589095
2007-11-05,2081169,1.03,2137448,4218617
2007-11-06,2400945,0.98,2360584,4761529
2007-11-07,2457307,1.06,2594877,5052184
2007-11-08,3264406,1.22,3986145,7250551
2007-11-09,2523811,1.08,2724456,5248267
2007-11-12,3087439,0.92,2851859,5939298
2007-11-13,2752242,1.19,3288060,6040302
2007-11-14,2498042,0.91,2275981,4774023
2007-11-15,2317468,1.31,3025645,5343113
2007-11-16,2392211,1.27,3027449,5419660
2007-11-19,1922033,1.11,2140068,4062101
2007-11-20,2321395,1.12,2592069,4913464
2007-11-21,1977466,1.23,2427132,4404598
2007-11-23,795687,0.89,706815,1502502
2007-11-26,1732807,0.98,1694788,3427595
2007-11-27,2520519,0.82,2069101,4589620
2007-11-28,2334390,0.9,2095454,4429844
2007-11-29,1551099,0.89,1376463,2927562
2007-11-30,1818871,1.06,1936788,3755659
2007-12-03,1264675,0.83,1049542,2314217
